time,feed_id,entered,exited,occupancy
2025-08-23T12:17:21Z,63fe865b,0,0,0
2025-08-23T12:17:22Z,63fe865b,0,0,0
2025-08-23T12:17:23Z,63fe865b,0,0,0
2025-08-23T12:17:24Z,63fe865b,0,0,0
2025-08-23T12:17:25Z,63fe865b,0,0,0
2025-08-23T12:17:26Z,63fe865b,0,0,0
2025-08-23T12:17:27Z,63fe865b,0,0,0
2025-08-23T12:17:28Z,63fe865b,0,0,0
2025-08-23T12:17:29Z,63fe865b,0,1,-1
2025-08-23T12:17:30Z,63fe865b,0,1,-1
2025-08-23T12:17:31Z,63fe865b,0,1,-1
2025-08-23T12:17:32Z,63fe865b,0,1,-1
2025-08-23T12:17:33Z,63fe865b,0,1,-1
2025-08-23T12:17:34Z,63fe865b,0,1,-1
2025-08-23T12:17:35Z,63fe865b,0,1,-1
2025-08-23T12:17:36Z,63fe865b,1,1,0
2025-08-23T12:17:37Z,63fe865b,1,1,0
2025-08-23T12:17:38Z,63fe865b,1,1,0
2025-08-23T12:17:39Z,63fe865b,1,1,0
2025-08-23T12:17:40Z,63fe865b,1,1,0
2025-08-23T12:17:41Z,63fe865b,1,1,0
2025-08-23T12:17:42Z,63fe865b,1,1,0
2025-08-23T12:17:43Z,63fe865b,1,1,0
2025-08-23T12:17:44Z,63fe865b,1,1,0
2025-08-23T12:17:45Z,63fe865b,1,1,0
2025-08-23T12:17:46Z,63fe865b,1,1,0
2025-08-23T12:17:47Z,63fe865b,1,1,0
2025-08-23T12:17:48Z,63fe865b,1,1,0
2025-08-23T12:17:49Z,63fe865b,1,1,0
2025-08-23T12:17:50Z,63fe865b,1,1,0
2025-08-23T12:17:51Z,63fe865b,1,1,0
2025-08-23T12:17:52Z,63fe865b,1,1,0
2025-08-23T12:17:53Z,63fe865b,1,1,0
2025-08-23T12:17:54Z,63fe865b,1,1,0
2025-08-23T12:17:55Z,63fe865b,1,1,0
2025-08-23T12:17:56Z,63fe865b,1,1,0
2025-08-23T12:17:57Z,63fe865b,1,2,-1
2025-08-23T12:17:58Z,63fe865b,1,2,-1
2025-08-23T12:17:59Z,63fe865b,2,2,0
2025-08-23T12:18:00Z,63fe865b,2,2,0
2025-08-23T12:18:01Z,63fe865b,2,2,0
2025-08-23T12:18:02Z,63fe865b,2,2,0
2025-08-23T12:18:03Z,63fe865b,2,2,0
