time,feed_id,entered,exited,occupancy
2025-08-23T19:35:13Z,7cc3f5dc,0,0,0
2025-08-23T19:35:14Z,7cc3f5dc,0,0,0
2025-08-23T19:35:15Z,7cc3f5dc,0,0,0
2025-08-23T19:35:16Z,7cc3f5dc,0,0,0
2025-08-23T19:35:17Z,7cc3f5dc,0,0,0
2025-08-23T19:35:18Z,7cc3f5dc,0,0,0
2025-08-23T19:35:19Z,7cc3f5dc,0,0,0
2025-08-23T19:35:20Z,7cc3f5dc,0,0,0
2025-08-23T19:35:21Z,7cc3f5dc,0,0,0
2025-08-23T19:35:22Z,7cc3f5dc,0,0,0
2025-08-23T19:35:23Z,7cc3f5dc,0,0,0
2025-08-23T19:35:24Z,7cc3f5dc,0,0,0
2025-08-23T19:35:25Z,7cc3f5dc,1,0,1
2025-08-23T19:35:26Z,7cc3f5dc,1,0,1
2025-08-23T19:35:27Z,7cc3f5dc,1,0,1
2025-08-23T19:35:28Z,7cc3f5dc,1,0,1
2025-08-23T19:35:29Z,7cc3f5dc,1,0,1
2025-08-23T19:35:30Z,7cc3f5dc,1,0,1
2025-08-23T19:35:31Z,7cc3f5dc,1,0,1
2025-08-23T19:35:32Z,7cc3f5dc,1,0,1
2025-08-23T19:35:33Z,7cc3f5dc,1,0,1
2025-08-23T19:35:34Z,7cc3f5dc,1,0,1
2025-08-23T19:35:35Z,7cc3f5dc,1,0,1
2025-08-23T19:35:36Z,7cc3f5dc,1,0,1
2025-08-23T19:35:37Z,7cc3f5dc,1,0,1
2025-08-23T19:35:38Z,7cc3f5dc,1,0,1
2025-08-23T19:35:39Z,7cc3f5dc,1,0,1
2025-08-23T19:35:40Z,7cc3f5dc,1,0,1
2025-08-23T19:35:41Z,7cc3f5dc,1,0,1
2025-08-23T19:35:42Z,7cc3f5dc,1,0,1
2025-08-23T19:35:43Z,7cc3f5dc,1,0,1
2025-08-23T19:35:44Z,7cc3f5dc,1,0,1
2025-08-23T19:35:45Z,7cc3f5dc,1,0,1
2025-08-23T19:35:46Z,7cc3f5dc,1,0,1
2025-08-23T19:35:47Z,7cc3f5dc,1,0,1
2025-08-23T19:35:48Z,7cc3f5dc,1,0,1
2025-08-23T19:35:49Z,7cc3f5dc,1,0,1
2025-08-23T19:35:50Z,7cc3f5dc,1,0,1
2025-08-23T19:35:51Z,7cc3f5dc,1,0,1
2025-08-23T19:35:52Z,7cc3f5dc,1,0,1
2025-08-23T19:35:53Z,7cc3f5dc,1,0,1
2025-08-23T19:35:54Z,7cc3f5dc,1,0,1
2025-08-23T19:35:55Z,7cc3f5dc,1,0,1
2025-08-23T19:35:56Z,7cc3f5dc,1,0,1
2025-08-23T19:35:57Z,7cc3f5dc,1,0,1
2025-08-23T19:35:58Z,7cc3f5dc,1,0,1
2025-08-23T19:35:59Z,7cc3f5dc,1,0,1
