time,feed_id,entered,exited,occupancy
2025-08-23T11:52:15Z,a6707943,0,0,0
2025-08-23T11:52:16Z,a6707943,0,0,0
2025-08-23T11:52:17Z,a6707943,0,0,0
2025-08-23T11:52:18Z,a6707943,0,0,0
2025-08-23T11:52:19Z,a6707943,0,0,0
2025-08-23T11:52:20Z,a6707943,0,0,0
2025-08-23T11:52:21Z,a6707943,0,0,0
2025-08-23T11:52:22Z,a6707943,1,0,1
2025-08-23T11:52:23Z,a6707943,1,0,1
2025-08-23T11:52:24Z,a6707943,1,0,1
2025-08-23T11:52:25Z,a6707943,1,0,1
2025-08-23T11:52:26Z,a6707943,1,0,1
2025-08-23T11:52:27Z,a6707943,1,0,1
2025-08-23T11:52:28Z,a6707943,1,0,1
2025-08-23T11:52:29Z,a6707943,1,0,1
2025-08-23T11:52:30Z,a6707943,1,0,1
2025-08-23T11:52:31Z,a6707943,1,0,1
2025-08-23T11:52:32Z,a6707943,1,0,1
2025-08-23T11:52:33Z,a6707943,1,0,1
2025-08-23T11:52:34Z,a6707943,1,0,1
2025-08-23T11:52:35Z,a6707943,1,0,1
2025-08-23T11:52:36Z,a6707943,1,0,1
2025-08-23T11:52:37Z,a6707943,1,0,1
2025-08-23T11:52:38Z,a6707943,1,0,1
2025-08-23T11:52:39Z,a6707943,1,0,1
2025-08-23T11:52:40Z,a6707943,1,0,1
2025-08-23T11:52:41Z,a6707943,1,0,1
2025-08-23T11:52:42Z,a6707943,1,0,1
2025-08-23T11:52:43Z,a6707943,1,0,1
2025-08-23T11:52:44Z,a6707943,1,0,1
2025-08-23T11:52:45Z,a6707943,1,0,1
2025-08-23T11:52:46Z,a6707943,1,0,1
2025-08-23T11:52:47Z,a6707943,1,0,1
2025-08-23T11:52:48Z,a6707943,1,0,1
2025-08-23T11:52:49Z,a6707943,1,1,0
2025-08-23T11:52:50Z,a6707943,1,1,0
2025-08-23T11:52:51Z,a6707943,1,1,0
2025-08-23T11:52:52Z,a6707943,1,1,0
2025-08-23T11:52:53Z,a6707943,1,1,0
2025-08-23T11:52:54Z,a6707943,1,1,0
2025-08-23T11:52:55Z,a6707943,2,1,1
2025-08-23T11:52:56Z,a6707943,3,1,2
2025-08-23T11:52:57Z,a6707943,3,1,2
2025-08-23T11:52:58Z,a6707943,3,1,2
2025-08-23T11:52:59Z,a6707943,3,1,2
2025-08-23T11:53:00Z,a6707943,3,1,2
2025-08-23T11:53:01Z,a6707943,3,1,2
2025-08-23T11:53:02Z,a6707943,3,1,2
2025-08-23T11:53:03Z,a6707943,3,1,2
2025-08-23T11:53:04Z,a6707943,3,2,1
2025-08-23T11:53:05Z,a6707943,3,2,1
2025-08-23T11:53:06Z,a6707943,3,2,1
2025-08-23T11:53:07Z,a6707943,3,2,1
2025-08-23T11:53:08Z,a6707943,3,2,1
2025-08-23T11:53:09Z,a6707943,3,2,1
2025-08-23T11:53:10Z,a6707943,3,2,1
2025-08-23T11:53:11Z,a6707943,3,2,1
2025-08-23T11:53:12Z,a6707943,3,2,1
2025-08-23T11:53:13Z,a6707943,3,2,1
2025-08-23T11:53:14Z,a6707943,3,2,1
2025-08-23T11:53:15Z,a6707943,3,2,1
2025-08-23T11:53:16Z,a6707943,3,3,0
