time,feed_id,entered,exited,occupancy
2025-08-30T07:11:05Z,ba78dce9,0,0,0
2025-08-30T07:11:06Z,ba78dce9,0,0,0
2025-08-30T07:11:07Z,ba78dce9,0,0,0
2025-08-30T07:11:08Z,ba78dce9,0,0,0
2025-08-30T07:11:09Z,ba78dce9,0,0,0
2025-08-30T07:11:10Z,ba78dce9,0,0,0
2025-08-30T07:11:11Z,ba78dce9,0,0,0
2025-08-30T07:11:12Z,ba78dce9,0,0,0
2025-08-30T07:11:13Z,ba78dce9,0,0,0
2025-08-30T07:11:14Z,ba78dce9,0,1,-1
2025-08-30T07:11:15Z,ba78dce9,0,1,-1
2025-08-30T07:11:16Z,ba78dce9,0,1,-1
2025-08-30T07:11:17Z,ba78dce9,0,1,-1
2025-08-30T07:11:18Z,ba78dce9,0,1,-1
2025-08-30T07:11:19Z,ba78dce9,0,1,-1
2025-08-30T07:11:20Z,ba78dce9,0,1,-1
2025-08-30T07:11:21Z,ba78dce9,0,1,-1
2025-08-30T07:11:22Z,ba78dce9,0,1,-1
2025-08-30T07:11:23Z,ba78dce9,0,1,-1
2025-08-30T07:11:24Z,ba78dce9,0,1,-1
2025-08-30T07:11:25Z,ba78dce9,0,1,-1
2025-08-30T07:11:26Z,ba78dce9,0,1,-1
2025-08-30T07:11:27Z,ba78dce9,0,1,-1
2025-08-30T07:11:28Z,ba78dce9,0,1,-1
2025-08-30T07:11:29Z,ba78dce9,0,1,-1
2025-08-30T07:11:30Z,ba78dce9,0,1,-1
2025-08-30T07:11:31Z,ba78dce9,0,1,-1
2025-08-30T07:11:32Z,ba78dce9,0,1,-1
2025-08-30T07:11:33Z,ba78dce9,0,1,-1
2025-08-30T07:11:34Z,ba78dce9,0,1,-1
2025-08-30T07:11:35Z,ba78dce9,0,1,-1
2025-08-30T07:11:36Z,ba78dce9,0,1,-1
2025-08-30T07:11:37Z,ba78dce9,0,1,-1
2025-08-30T07:11:38Z,ba78dce9,0,1,-1
2025-08-30T07:11:39Z,ba78dce9,0,1,-1
2025-08-30T07:11:40Z,ba78dce9,0,1,-1
2025-08-30T07:11:41Z,ba78dce9,0,1,-1
2025-08-30T07:11:42Z,ba78dce9,0,1,-1
2025-08-30T07:11:43Z,ba78dce9,0,1,-1
2025-08-30T07:11:44Z,ba78dce9,0,1,-1
2025-08-30T07:11:45Z,ba78dce9,0,1,-1
2025-08-30T07:11:46Z,ba78dce9,0,1,-1
2025-08-30T07:11:47Z,ba78dce9,1,1,0
2025-08-30T07:11:48Z,ba78dce9,1,1,0
2025-08-30T07:11:49Z,ba78dce9,1,1,0
2025-08-30T07:11:50Z,ba78dce9,1,1,0
2025-08-30T07:11:51Z,ba78dce9,1,1,0
2025-08-30T07:11:52Z,ba78dce9,1,1,0
2025-08-30T07:11:53Z,ba78dce9,1,1,0
2025-08-30T07:11:54Z,ba78dce9,1,2,-1
2025-08-30T07:11:55Z,ba78dce9,1,3,-2
2025-08-30T07:11:56Z,ba78dce9,1,3,-2
2025-08-30T07:11:57Z,ba78dce9,1,3,-2
2025-08-30T07:11:58Z,ba78dce9,1,3,-2
2025-08-30T07:11:59Z,ba78dce9,1,3,-2
2025-08-30T07:12:00Z,ba78dce9,1,3,-2
2025-08-30T07:12:01Z,ba78dce9,1,3,-2
2025-08-30T07:12:02Z,ba78dce9,1,3,-2
2025-08-30T07:12:03Z,ba78dce9,1,3,-2
2025-08-30T07:12:04Z,ba78dce9,1,3,-2
2025-08-30T07:12:05Z,ba78dce9,1,3,-2
2025-08-30T07:12:06Z,ba78dce9,2,3,-1
2025-08-30T07:12:07Z,ba78dce9,2,3,-1
2025-08-30T07:12:08Z,ba78dce9,2,3,-1
2025-08-30T07:12:09Z,ba78dce9,2,3,-1
2025-08-30T07:12:10Z,ba78dce9,2,3,-1
2025-08-30T07:12:11Z,ba78dce9,2,3,-1
2025-08-30T07:12:12Z,ba78dce9,2,3,-1
2025-08-30T07:12:13Z,ba78dce9,2,3,-1
2025-08-30T07:12:14Z,ba78dce9,2,3,-1
2025-08-30T07:12:15Z,ba78dce9,2,3,-1
